activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,b1
A001,21,PLAT:BET:S16:EB,b1
A001,21,PLAT:BET:S17:EB,b1
A001,21,SEC:BET:S15_S16:EB,b1
A001,21,SEC:BET:S16_S17:EB,b1
A002,1,PLAT:BET:S11:WB,b1
A002,1,PLAT:BET:S12:WB,b1
A002,1,PLAT:BET:S13:WB,b1
A002,1,SEC:BET:S11_S12:WB,b1
A002,1,SEC:BET:S12_S13:WB,b1
A003,11,PLAT:BET:H01:EB,b1
A003,11,PLAT:BET:H02:EB,b1
A003,11,PLAT:BET:S15:EB,b1
A003,11,PLAT:BET:S16:EB,b2
A003,11,SEC:BET:H01_H02:EB,b1
A003,11,SEC:BET:H02_S15:EB,b1
A003,11,SEC:BET:S15_S16:EB,b1
A003,12,PLAT:BET:H01:EB,b1
A003,12,PLAT:BET:H02:EB,b1
A003,12,PLAT:BET:S15:EB,b1
A003,12,PLAT:BET:S16:EB,b1
A003,12,SEC:BET:H01_H02:EB,b1
A003,12,SEC:BET:H02_S15:EB,b1
A003,12,SEC:BET:S15_S16:EB,b1
A004,15,PLAT:ALP:H01:EB,b1
A004,15,PLAT:ALP:S03:EB,b1
A004,15,PLAT:ALP:S04:EB,b1
A004,15,SEC:ALP:S03_S04:EB,b1
A004,15,SEC:ALP:S04_H01:EB,b1
A006,2,PLAT:ALP:H01:WB,b1
A006,2,PLAT:ALP:H02:WB,b1
A006,2,PLAT:ALP:S03:WB,b1
A006,2,PLAT:ALP:S04:WB,b1
A006,2,SEC:ALP:H01_H02:WB,b1
A006,2,SEC:ALP:S03_S04:WB,b1
A006,2,SEC:ALP:S04_H01:WB,b1
A007,15,PLAT:BET:H01:EB,b1
A007,15,PLAT:BET:H02:EB,b1
A007,15,SEC:BET:H01_H02:EB,b1
A007,16,PLAT:BET:H01:EB,b1
A007,16,PLAT:BET:H02:EB,b1
A007,16,SEC:BET:H01_H02:EB,b1
A007,17,PLAT:BET:H01:EB,b1
A007,17,PLAT:BET:H02:EB,b1
A007,17,SEC:BET:H01_H02:EB,b1
A008,16,PLAT:BET:S17:EB,b1
A008,16,PLAT:BET:S18:EB,b1
A008,16,SEC:BET:S17_S18:EB,b1
A008,17,PLAT:BET:S17:EB,b1
A008,17,PLAT:BET:S18:EB,b1
A008,17,SEC:BET:S17_S18:EB,b1
A009,3,PLAT:ALP:S05:EB,b1
A009,3,PLAT:ALP:S06:EB,b1
A009,3,SEC:ALP:S05_S06:EB,b1
A009,5,PLAT:ALP:S05:EB,b1
A009,5,PLAT:ALP:S06:EB,b1
A009,5,SEC:ALP:S05_S06:EB,b1
A009,6,PLAT:ALP:S05:EB,b1
A009,6,PLAT:ALP:S06:EB,b1
A009,6,SEC:ALP:S05_S06:EB,b1
A011,15,PLAT:BET:S15:EB,b2
A011,15,PLAT:BET:S16:EB,b2
A011,15,PLAT:BET:S17:EB,b1
A011,15,SEC:BET:S15_S16:EB,b2
A011,15,SEC:BET:S16_S17:EB,b1
A012,2,PLAT:BET:H01:WB,b1
A012,2,PLAT:BET:H02:WB,b1
A012,2,PLAT:BET:S15:WB,b1
A012,2,SEC:BET:H01_H02:WB,b1
A012,2,SEC:BET:H02_S15:WB,b1
A012,4,PLAT:BET:H01:WB,b1
A012,4,PLAT:BET:H02:WB,b1
A012,4,PLAT:BET:S15:WB,b1
A012,4,SEC:BET:H01_H02:WB,b1
A012,4,SEC:BET:H02_S15:WB,b1
A012,5,PLAT:BET:H01:WB,b1
A012,5,PLAT:BET:H02:WB,b1
A012,5,PLAT:BET:S15:WB,b1
A012,5,SEC:BET:H01_H02:WB,b1
A012,5,SEC:BET:H02_S15:WB,b1
A013,21,PLAT:ALP:S05:WB,b1
A013,21,PLAT:ALP:S06:WB,b1
A013,21,SEC:ALP:S05_S06:WB,b1
A013,22,PLAT:ALP:S05:WB,b1
A013,22,PLAT:ALP:S06:WB,b1
A013,22,SEC:ALP:S05_S06:WB,b1
A014,13,PLAT:ALP:S07:EB,b1
A014,13,PLAT:ALP:S08:EB,b1
A014,13,SEC:ALP:S07_S08:EB,b1
A014,14,PLAT:ALP:S07:EB,b1
A014,14,PLAT:ALP:S08:EB,b1
A014,14,SEC:ALP:S07_S08:EB,b1
A014,15,PLAT:ALP:S07:EB,b1
A014,15,PLAT:ALP:S08:EB,b1
A014,15,SEC:ALP:S07_S08:EB,b1
A017,17,PLAT:BET:H01:EB,b1
A017,17,PLAT:BET:H02:EB,b1
A017,17,PLAT:BET:S15:EB,b1
A017,17,PLAT:BET:S16:EB,b1
A017,17,SEC:BET:H01_H02:EB,b1
A017,17,SEC:BET:H02_S15:EB,b1
A017,17,SEC:BET:S15_S16:EB,b1
A017,18,PLAT:BET:H01:EB,b1
A017,18,PLAT:BET:H02:EB,b1
A017,18,PLAT:BET:S15:EB,b1
A017,18,PLAT:BET:S16:EB,b1
A017,18,SEC:BET:H01_H02:EB,b1
A017,18,SEC:BET:H02_S15:EB,b1
A017,18,SEC:BET:S15_S16:EB,b1
A017,19,PLAT:BET:H01:EB,b1
A017,19,PLAT:BET:H02:EB,b1
A017,19,PLAT:BET:S15:EB,b1
A017,19,PLAT:BET:S16:EB,b1
A017,19,SEC:BET:H01_H02:EB,b1
A017,19,SEC:BET:H02_S15:EB,b1
A017,19,SEC:BET:S15_S16:EB,b1
A019,11,PLAT:BET:S16:EB,b1
A019,11,PLAT:BET:S17:EB,b1
A019,11,SEC:BET:S16_S17:EB,b1
A020,13,PLAT:ALP:H01:WB,b1
A020,13,PLAT:ALP:H02:WB,b1
A020,13,PLAT:ALP:S04:WB,b1
A020,13,PLAT:ALP:S05:WB,b1
A020,13,SEC:ALP:H01_H02:WB,b1
A020,13,SEC:ALP:H02_S05:WB,b1
A020,13,SEC:ALP:S04_H01:WB,b1
A021,3,PLAT:BET:S11:WB,b1
A021,3,PLAT:BET:S12:WB,b1
